,Unnamed: 0,hostname,status,pl_index,mass,mass_med,mass_minus,mass_plus,axis,axis_med,axis_minus,axis_plus,per,per_med,per_minus,per_plus,tc,tc_med,tc_minus,tc_plus,w,w_med,w_minus,w_plus,k,k_med,k_minus,k_plus,e,e_med,e_minus,e_plus,e_mode,e_68,insol,insol_med,insols_minus,insols_plus,teq,teq_med,teq_minus,teq_plus,post_path
4,8,108874,K,1.0,1.322191855,1.3196634109999998,1.272191878,1.3670612640000002,1.052723064,1.052493963,1.036291158,1.068554294,395.3957755,395.38474,395.1705522,395.6064123,2453527.321,2453527.545,2453524.801,2453530.262,-2.530688377,0.6009130398,0.4766766965,0.7257825373000001,37.1043034,37.05552352,36.36884924,37.76095791,0.1433085743,0.14444290640000002,0.1282931656,0.16072167240000002,0.14,0.15209796609999998,0.9276743361,0.9286511574,0.8511809259,1.011130117,0.6590382579999999,0.6588648838000001,0.8511809259,1.011130117,/data/user/lrosenth/legacy/final_run/108874/108874_pchains.csv
5,9,108874,K,2.0,1.143530151,1.139485956,1.089971941,1.191026291,2.8308945210000003,2.829653697,2.784949068,2.874170955,1743.59795,1743.2393149999998,1733.744407,1752.583191,2454784.5,2454785.184,2454767.673,2454803.467,0.07140410548,0.07652817686,-0.04001120383,0.1961670467,20.08168697,20.05281946,19.40084839,20.70140654,0.2643733219,0.2649892849,0.2341017327,0.2953227988,0.265,0.2794963573,0.1282851666,0.1284684074,0.1177293457,0.139973931,1.080725507,1.080339927,0.1177293457,0.139973931,/data/user/lrosenth/legacy/final_run/108874/108874_pchains.csv
7,14,114783,K,1.0,1.034819187,1.032731072,0.9991966142,1.06638463,1.1638283,1.16388126,1.147396823,1.179532785,492.5395102,492.558183,492.2100479,492.8988893,2455283.898,2455283.817,2455281.16,2455286.516,1.90282515,-1.234505596,-1.371806087,-1.09294725,29.53420992,29.47745643,28.96438338,30.01315802,0.1278306078,0.1260403637,0.1096601375,0.1424599125,0.12,0.1340385328,0.323354177,0.32343404530000003,0.3008069096,0.3471393818,0.8577088541,0.8576558989,0.3008069096,0.3471393818,/data/user/lrosenth/legacy/final_run/114783/114783_pchains.csv
8,15,114783,K,2.0,0.6536646166,0.6593195773,0.6131944118,0.7056032093000001,4.950488847,4.969085027,4.856960002,5.091295103999999,4320.955897,4344.240269,4230.693238,4477.061049,2454995.84,2454959.215,2454873.873,2455048.796,2.742677913,-0.3706734916,-0.8621714551999999,0.13195532029999998,9.044610178,9.10728917,8.530553374,9.671389572,0.1270053375,0.1144880775,0.05619335421,0.17233243059999998,0.12,0.14166476390000002,0.01787146395,0.0177089356,0.01629112856,0.01918594582,1.768965976,1.773010867,0.01629112856,0.01918594582,/data/user/lrosenth/legacy/final_run/114783/114783_pchains.csv
17,28,12661,K,1.0,2.282367114,2.283376102,2.220968952,2.344721092,0.8241165000000001,0.8241329226,0.8128989898000001,0.8349939227,262.36226150000005,262.3604849,262.3440407,262.3774254,2456079.043,2456079.2830000003,2456078.6580000003,2456079.944,-1.0530301009999998,-1.058116861,-1.071367856,-1.044617006,73.56595373,73.58843997,73.22146913,73.95148456,0.3600371101,0.3596641525,0.3552251412,0.3642251615,0.355,0.3617810518,1.947951234,1.945932577,1.788472846,2.11805821,0.5474758822,0.5476178111,1.788472846,2.11805821,/data/user/lrosenth/legacy/final_run/12661/12661_pchains.csv
18,29,12661,K,2.0,1.859748418,1.855497333,1.801049046,1.909186914,2.860843612,2.860550398,2.821585852,2.898473064,1696.913201,1696.663821,1694.292313,1698.937578,2455775.738,2455774.879,2455767.926,2455782.261,1.925861379,-0.9869806041,-1.340313489,0.9585018907,30.02635241,29.96203961,29.62545303,30.30393679,0.02688317691,0.0250672918,0.01295726626,0.03703304022,0.02,0.030810821960000005,0.1616467822,0.1615039008,0.1484151737,0.1757847969,1.020041277,1.020266808,0.1484151737,0.1757847969,/data/user/lrosenth/legacy/final_run/12661/12661_pchains.csv
20,32,128311,K,1.0,3.284585347,3.25056308,3.130205972,3.373816148,1.741200618,1.74150763,1.7210618830000002,1.761426719,917.2626838,917.5018561,915.6487029,919.4437187,2455213.788,2455218.864,2455202.754,2455238.248,-0.5087708489,-0.3043944558,-0.6043685731,0.04587216487,79.14898422,78.12919668,75.48847661,80.78950667,0.21161702,0.1956776923,0.1389273372,0.2424481531,0.21,0.2184121391,0.1074319788,0.1074176085,0.1004181407,0.1147771855,1.129733789,1.129771571,0.1004181407,0.1147771855,/data/user/lrosenth/legacy/final_run/128311/128311_pchains.csv
21,33,128311,K,2.0,2.0897000880000003,2.0044854130000003,1.849179056,2.160315863,1.088538612,1.088307643,1.075630005,1.10072699,453.4049583,453.28271,452.5989451,453.9745741,2455211.872,2455211.332,2455207.055,2455215.818,0.9838694162,1.063605795,0.8864510044,1.251694239,64.73354588,62.36494185,58.06391203,66.59758798,0.2746200352,0.2831150856,0.2434916268,0.3232432574,0.27,0.30213345010000003,0.274880241,0.2750670796,0.2571074117,0.293910315,0.8932512476000001,0.8930995243000001,0.2571074117,0.293910315,/data/user/lrosenth/legacy/final_run/128311/128311_pchains.csv
24,36,134987,K,1.0,1.624656729,1.6241010619999998,1.574275549,1.672803876,0.8174363606999999,0.8175566798999999,0.80550745,0.8291618293999999,258.24975240000003,258.2510935,258.2081322,258.2926717,2452704.421,2452704.415,2452703.58,2452705.247,-0.1708457093,-0.1664835203,-0.2077475339,-0.1242921019,50.20286275,50.1771314,49.7326977,50.62144017,0.2282171789,0.2281165281,0.22044205170000006,0.23590717100000005,0.225,0.2318304166,2.368367944,2.367932911,2.178949002,2.572401155,0.5213714174,0.5213953621999999,2.178949002,2.572401155,/data/user/lrosenth/legacy/final_run/134987/134987_pchains.csv
25,37,134987,K,2.0,0.9426318878,0.9345525515,0.8740913999,0.9971551407,6.620941544,6.624323287,6.476736178,6.78059495,5953.0374729999985,5955.139412,5808.216061,6122.7940119999985,2455044.799,2455064.065,2454915.472,2455200.159,-1.63301858,1.028054029,-1.406443132,1.4272422830000002,10.10534242,10.00733185,9.437551004,10.59812544,0.1662978397,0.1542958189,0.1044001247,0.20357357760000006,0.155,0.177562439,0.0361008619,0.03601525024,0.03290110069,0.03941966746,1.4838162380000002,1.484697246,0.03290110069,0.03941966746,/data/user/lrosenth/legacy/final_run/134987/134987_pchains.csv
